State,Unemployment rate
Alabama,4.6
Alaska,6.6
Arizona,3.9
Arkansas,4.4
California,4.9
Colorado,2.7
Connecticut,2.3
Delaware,4.0
District of Columbia,5.8
Florida,3.6
Georgia,3.7
Hawaii,4.3
Idaho,4.9
Illinois,4.4
Indiana,3.2
Iowa,2.6
Kansas,3.7
Kentucky,4.1
Louisiana,5.5
Maine,3.5
Maryland,3.9
Massachusetts,2.6
Michigan,3.6
Minnesota,3.3
Mississippi,5.7
Missouri,3.5
Montana,4.9
Nebraska,3.0
Nevada,4.1
New Hampshire,2.8
New Jersey,3.8
New Mexico,4.9
New York,4.6
North Carolina,3.6
North Dakota,3.0
Ohio,4.1
Oklahoma,3.0
Oregon,4.9
Pennsylvania,4.2
Rhode Island,4.1
South Carolina,3.9
South Dakota,2.3
Tennessee,3.9
Texas,4.2
Utah,3.2
Vermont,2.9
Virginia,2.2
Washington,5.2
West Virginia,5.5
Wisconsin,3.5
Wyoming,3.9
