State,Violent
Alabama,490.2
Alaska,630.8
Arizona,551.1
Arkansas,425.2
California,627.2
Colorado,340.5
Connecticut,345.6
Delaware,734.4
Florida,854.0
Georgia,533.9
Hawaii,234.9
Idaho,244.9
Illinois,689.5
Indiana,374.6
Iowa,280.0
Kansas,382.8
Kentucky,308.3
Louisiana,732.7
Maine,112.0
Maryland,743.4
Massachusetts,551.0
Michigan,574.9
Minnesota,274.0
Mississippi,349.3
Missouri,500.2
Montana,236.8
Nebraska,430.2
Nevada,569.9
New Hampshire,96.5
New Jersey,411.9
New Mexico,834.6
New York,588.8
North Carolina,542.1
North Dakota,66.9
Ohio,316.4
Oklahoma,508.2
Oregon,374.9
Pennsylvania,420.5
Rhode Island,286.6
South Carolina,847.2
South Dakota,167.4
Tennessee,695.0
Texas,560.3
Utah,275.6
Vermont,113.9
Virginia,314.7
Washington,377.3
West Virginia,350.7
Wisconsin,245.8
Wyoming,232.5
